1,Pasívne súčiastky,,Rezistor,"0.22R",39,
2,Pasívne súčiastky,,Rezistor,"0.33R",32,
3,Pasívne súčiastky,,Rezistor,"0.47R",47,
4,Pasívne súčiastky,,Rezistor,1R,147,
5,Pasívne súčiastky,,Rezistor,"1.2R",144,
6,Pasívne súčiastky,,Rezistor,"1.5R",174,
7,Pasívne súčiastky,,Rezistor,"1.8R",180,
8,Pasívne súčiastky,,Rezistor,"2.2R",145,
9,Pasívne súčiastky,,Rezistor,"2.7R",123,
10,Pasívne súčiastky,,Rezistor,"3.3R",119,
11,Pasívne súčiastky,,Rezistor,"3.9R",118,
12,Pasívne súčiastky,,Rezistor,"4.7R",143,
13,Pasívne súčiastky,,Rezistor,"5.6R",173,
14,Pasívne súčiastky,,Rezistor,"6.8R",115,
15,Pasívne súčiastky,,Rezistor,"8.2R",147,
16,Pasívne súčiastky,,Rezistor,10R,115,
17,Pasívne súčiastky,,Rezistor,12R,307,
18,Pasívne súčiastky,,Rezistor,15R,117,
19,Pasívne súčiastky,,Rezistor,18R,136,
20,Pasívne súčiastky,,Rezistor,22R,155,
21,Pasívne súčiastky,,Rezistor,24R,178,
22,Pasívne súčiastky,,Rezistor,27R,146,
23,Pasívne súčiastky,,Rezistor,29R,0,
24,Pasívne súčiastky,,Rezistor,33R,74,
25,Pasívne súčiastky,,Rezistor,39R,183,
26,Pasívne súčiastky,,Rezistor,47R,115,
27,Pasívne súčiastky,,Rezistor,56R,106,
28,Pasívne súčiastky,,Rezistor,62R,126,
29,Pasívne súčiastky,,Rezistor,68R,100,
30,Pasívne súčiastky,,Rezistor,75R,168,
31,Pasívne súčiastky,,Rezistor,82R,102,
32,Pasívne súčiastky,,Rezistor,91R,100,
33,Pasívne súčiastky,,Rezistor,100R,16,
34,Pasívne súčiastky,,Rezistor,120R,49,
35,Pasívne súčiastky,,Rezistor,150R,5,
36,Pasívne súčiastky,,Rezistor,180R,49,
37,Pasívne súčiastky,,Rezistor,220R,68,
38,Pasívne súčiastky,,Rezistor,240R,41,
39,Pasívne súčiastky,,Rezistor,270R,23,
40,Pasívne súčiastky,,Rezistor,330R,296,
41,Pasívne súčiastky,,Rezistor,360R,104,
42,Pasívne súčiastky,,Rezistor,390R,42,
43,Pasívne súčiastky,,Rezistor,470R,70,
44,Pasívne súčiastky,,Rezistor,510R,31,
45,Pasívne súčiastky,,Rezistor,560R,77,
46,Pasívne súčiastky,,Rezistor,620R,28,
47,Pasívne súčiastky,,Rezistor,680R,1,
48,Pasívne súčiastky,,Rezistor,750R,75,
49,Pasívne súčiastky,,Rezistor,820R,72,
50,Pasívne súčiastky,,Rezistor,1K,18,
51,Pasívne súčiastky,,Rezistor,"1.5K",22,
52,Pasívne súčiastky,,Rezistor,"1.8K",2,
53,Pasívne súčiastky,,Rezistor,2K,105,
54,Pasívne súčiastky,,Rezistor,"2.4K",111,
55,Pasívne súčiastky,,Rezistor,"2.7K",138,
56,Pasívne súčiastky,,Rezistor,"3.3K",45,
57,Pasívne súčiastky,,Rezistor,"3.9K",22,
58,Pasívne súčiastky,,Rezistor,"4.3K",48,
59,Pasívne súčiastky,,Rezistor,"4.7K",87,
60,Pasívne súčiastky,,Rezistor,"5.1K",47,
61,Pasívne súčiastky,,Rezistor,"5.6K",37,
62,Pasívne súčiastky,,Rezistor,"6.2K",161,
63,Pasívne súčiastky,,Rezistor,"6.8K",89,
64,Pasívne súčiastky,,Rezistor,"7.5K",47,
65,Pasívne súčiastky,,Rezistor,"8.2K",9,
66,Pasívne súčiastky,,Rezistor,10K,113,
67,Pasívne súčiastky,,Rezistor,12K,101,
68,Pasívne súčiastky,,Rezistor,15K,89,
69,Pasívne súčiastky,,Rezistor,18K,142,
70,Pasívne súčiastky,,Rezistor,20K,136,
71,Pasívne súčiastky,,Rezistor,22K,6,
72,Pasívne súčiastky,,Rezistor,24K,183,
73,Pasívne súčiastky,,Rezistor,27K,56,
74,Pasívne súčiastky,,Rezistor,33K,102,
75,Pasívne súčiastky,,Rezistor,36K,167,
76,Pasívne súčiastky,,Rezistor,39K,79,
77,Pasívne súčiastky,,Rezistor,43K,71,
78,Pasívne súčiastky,,Rezistor,47K,115,
79,Pasívne súčiastky,,Rezistor,51K,83,
80,Pasívne súčiastky,,Rezistor,56K,45,
81,Pasívne súčiastky,,Rezistor,62K,93,
82,Pasívne súčiastky,,Rezistor,68K,119,
83,Pasívne súčiastky,,Rezistor,75K,53,
84,Pasívne súčiastky,,Rezistor,82K,82,
85,Pasívne súčiastky,,Rezistor,91K,116,
86,Pasívne súčiastky,,Rezistor,100K,71,
87,Pasívne súčiastky,,Rezistor,120K,117,
88,Pasívne súčiastky,,Rezistor,150K,113,
89,Pasívne súčiastky,,Rezistor,180K,168,
90,Pasívne súčiastky,,Rezistor,220K,62,
91,Pasívne súčiastky,,Rezistor,270K,50,
92,Pasívne súčiastky,,Rezistor,330K,59,
93,Pasívne súčiastky,,Rezistor,390K,253,
94,Pasívne súčiastky,,Rezistor,470K,120,
95,Pasívne súčiastky,,Rezistor,560K,126,
96,Pasívne súčiastky,,Rezistor,680K,142,
97,Pasívne súčiastky,,Rezistor,750K,77,
98,Pasívne súčiastky,,Rezistor,820K,144,
99,Pasívne súčiastky,,Rezistor,910K,106,
100,Pasívne súčiastky,,Rezistor,1M,48,
101,Pasívne súčiastky,,Rezistor,"1.2M",104,
102,Pasívne súčiastky,,Rezistor,"1.5M",121,
103,Pasívne súčiastky,,Rezistor,"1.8M",146,
104,Pasívne súčiastky,,Rezistor,"2.2M",119,
105,Pasívne súčiastky,,Rezistor,"2.7M",116,
106,Pasívne súčiastky,,Rezistor,"3.3M",66,
107,Pasívne súčiastky,,Rezistor,"3.9M",125,
108,Pasívne súčiastky,,Rezistor,"4.7M",139,
109,Pasívne súčiastky,,Rezistor,"5.6M",138,
110,Pasívne súčiastky,,Rezistor,"6.8M",105,
111,Pasívne súčiastky,,Rezistor,"8.2M",138,
112,Pasívne súčiastky,,Rezistor,"1.2K",3,
113,Pasívne súčiastky,,Rezistor,"3.6K",150,
114,Pasívne súčiastky,,Varistor,250A,20,
115,Pasívne súčiastky,,Varistor,100A,20,
116,Pasívne súčiastky,,Varistor,4500A,17,
117,Aktívne súčiastky,unipolárny,Tranzistor,1500W,19,
118,Aktívne súčiastky,bipolárny,Tranzistor,600W,19,
119,Aktívne súčiastky,unipolárny,Tranzistor,600W,10,
120,Aktívne súčiastky,unipolárny,Tranzistor,1500W,19,
121,Aktívne súčiastky,bipolárny,Tranzistor,1500W,17,
